Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,57.15, 8.89,Top,270.0
C1,24.46,52.78,Top,90.0
C2,20.37,53.98,Top,180.0
C3,27.18,10.41,Top,270.0
C4,36.30,23.11,Top,180.0
C5,36.30,14.45,Top,180.0
C6,18.34,51.51,Top,90.0
C7,45.77,15.19,Top,180.0
C8,28.45,10.41,Top,270.0
C9,29.74,10.41,Top,270.0
C10,31.01,10.41,Top,270.0
C11,32.26,10.41,Top,270.0
C12,33.53,10.41,Top,270.0
C13,34.80,10.41,Top,270.0
C14,36.07,10.41,Top,270.0
C15,37.34,10.41,Top,270.0
C16,38.61,10.41,Top,270.0
C17,24.74,22.91,Top,90.0
C18,31.60,19.08,Top,270.0
C20,15.16, 7.90,Top,270.0
C21,31.60,22.15,Top,270.0
C22,28.58,30.81,Top,0.0
C23,36.30,16.48,Top,180.0
CHARGING,45.72, 2.57,Top,270.0
CHRG,46.33,23.44,Top,0.0
D1,44.40, 7.90,Top,270.0
D2,18.16,15.24,Top,180.0
D4,18.87, 6.96,Top,180.0
D5,18.87, 5.11,Top,0.0
D6,18.87, 8.81,Top,180.0
ESP32,35.56,48.26,Top,270.0
F1,39.27,19.84,Top,270.0
FLASH,54.38, 1.96,Top,180.0
L1,28.24,23.04,Top,180.0
LDO1,36.32,19.81,Top,90.0
LDO2,28.27,19.10,Top,180.0
Q1,37.57,29.90,Top,180.0
Q2,23.04,19.10,Top,270.0
Q3,24.64, 9.65,Top,270.0
R1,37.54,31.78,Top,0.0
R2,21.49,51.66,Top,270.0
R3,37.59,28.07,Top,180.0
R4,25.37,19.13,Top,90.0
R6,20.40,19.10,Top,270.0
R8,23.95, 7.04,Top,90.0
R9,25.65,13.21,Top,270.0
R10,44.81,23.42,Top,90.0
R11,45.72,20.60,Top,0.0
R12,24.64,13.21,Top,90.0
R13,28.58,28.40,Top,0.0
R14,28.58,29.49,Top,180.0
RESET,18.57, 1.96,Top,0.0
U1,45.72,17.78,Top,180.0
