Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,34.65,-13.54,Top,180.0
C1,65.52,10.63,Top,0.0
C2,62.50,10.63,Top,180.0
C3,21.84,-6.83,Top,270.0
C4,42.42,-3.94,Top,0.0
C5,42.42, 4.45,Top,0.0
C6,42.16, 7.42,Top,0.0
C7,33.59, 4.59,Top,0.0
C8,20.80,-6.83,Top,270.0
C9,17.34,-6.39,Top,270.0
C10,15.89,-6.39,Top,270.0
C11,14.92,-6.39,Top,270.0
C12,13.93,-6.39,Top,270.0
C13,12.94,-6.39,Top,270.0
C14,11.95,-6.39,Top,270.0
C15,10.96,-6.39,Top,270.0
C16, 9.97,-6.39,Top,270.0
C17,22.99, 9.32,Top,180.0
C18,18.16, 4.06,Top,90.0
C19,33.96, 7.92,Top,270.0
C20,20.54,-0.91,Top,270.0
C21,20.19, 4.06,Top,270.0
C22,31.39,-4.32,Top,180.0
C23,42.42, 2.16,Top,0.0
C24,37.34, 3.56,Top,180.0
C26,10.79, 4.19,Top,0.0
C27,10.29, 2.67,Top,0.0
C28, 6.60, 6.48,Top,180.0
CHARGING,29.72,-11.30,Top,0.0
D1,10.53,-1.71,Top,180.0
D2,26.17,10.25,Top,90.0
D3,33.86, 2.77,Top,180.0
D4,23.91,-1.84,Top,180.0
D5,23.91,-3.70,Top,0.0
D6,23.91, 0.01,Top,180.0
D8, 4.70, 7.24,Top,270.0
D9, 2.79,-6.55,Top,90.0
D10, 4.70,-6.55,Top,90.0
DISP,14.86, 1.27,Top,0.0
F1,38.35,-2.34,Top,270.0
F2,34.47,10.39,Top,0.0
IC1,29.59, 9.88,Top,270.0
IC2,31.80,-0.99,Top,90.0
IC3,10.26, 7.57,Top,0.0
IC4,22.53,11.99,Top,180.0
IC5,60.45, 0.00,Top,270.0
J2,16.76,10.41,Top,0.0
J3,44.40,-9.14,Top,90.0
J4, 6.63, 0.00,Top,270.0
J5,17.60,-11.02,Top,0.0
L1,23.50, 3.43,Top,90.0
LDO,42.42,-0.89,Top,90.0
Q1,28.18, 4.35,Top,90.0
Q4,25.09,-6.79,Top,90.0
Q5,35.31,-2.26,Top,90.0
R1,27.81, 6.22,Top,0.0
R2,42.16, 5.97,Top,0.0
R3,28.21, 2.52,Top,180.0
R4,17.07,-3.73,Top,90.0
R5,28.98,-1.60,Top,270.0
R8,22.89,-6.83,Top,270.0
R9,19.16,-3.73,Top,270.0
R10,29.72,-8.38,Top,270.0
R11,28.98, 0.46,Top,90.0
R12,18.12,-3.73,Top,90.0
R13,39.24, 5.59,Top,270.0
R14,37.80, 8.36,Top,90.0
R15, 7.87, 1.07,Top,90.0
R16, 7.87,-1.09,Top,270.0
R17,33.81, 0.61,Top,90.0
R18,38.58,-4.90,Top,0.0
R19,36.75, 8.36,Top,90.0
RESET, 9.40,13.31,Top,0.0
U2,37.59, 5.59,Top,0.0
