Designator,Mid X,Mid Y,Layer,Rotation
ADC,38.93, 6.16,Top,90.0
ADC-BATT,37.21, 0.89,Top,0.0
BATTERY,35.79,-13.52,Top,180.0
C1,63.61,10.63,Top,0.0
C2,60.59,10.63,Top,180.0
C3,21.86,-7.00,Top,270.0
C4,42.48,-4.17,Top,0.0
C5,42.48, 4.49,Top,0.0
C6,43.30, 7.18,Top,0.0
C7,33.59, 4.87,Top,0.0
C8,20.71,-7.00,Top,270.0
C9,17.34,-6.39,Top,270.0
C10,15.89,-6.39,Top,270.0
C11,14.92,-6.39,Top,270.0
C12,13.93,-6.39,Top,270.0
C13,12.94,-6.39,Top,270.0
C14,11.95,-6.39,Top,270.0
C15,10.96,-6.39,Top,270.0
C16, 9.97,-6.39,Top,270.0
C20,20.54,-0.91,Top,270.0
C21,19.43, 4.17,Top,270.0
C22,39.71, 4.23,Top,180.0
C23,42.48, 2.21,Top,0.0
C26,10.39, 4.85,Top,270.0
C27, 8.79, 5.21,Top,270.0
C28, 6.93, 7.37,Top,180.0
CHARGING,29.86,-11.29,Top,0.0
D1, 9.92,-3.01,Top,180.0
D2,26.17,10.25,Top,90.0
D3,33.86, 3.05,Top,180.0
D4,23.91,-1.84,Top,180.0
D5,23.91,-3.70,Top,0.0
D6,23.91, 0.01,Top,180.0
ESP32,59.18, 0.00,Top,180.0
IC3,10.39, 8.84,Top,0.0
J2,16.76,10.41,Top,0.0
J4, 6.63, 0.00,Top,270.0
J5,17.60,-11.02,Top,0.0
L1,22.54, 3.32,Top,90.0
LDO,42.46,-0.87,Top,90.0
Q1,28.18, 4.35,Top,90.0
Q2,15.83, 4.99,Top,90.0
Q3,16.83,-2.83,Top,180.0
Q4,25.36,-6.80,Top,0.0
Q5,35.92,-2.29,Top,90.0
Q9,12.78,-0.20,Top,90.0
R1,27.85, 6.23,Top,0.0
R2,42.48, 6.01,Top,0.0
R3,28.21, 2.52,Top,180.0
R4,16.48,-0.29,Top,180.0
R5,28.98,-1.60,Top,270.0
R6,16.47, 1.82,Top,0.0
R7,16.46, 2.87,Top,0.0
R8,23.08,-7.30,Top,270.0
R9, 8.14,-9.08,Top,0.0
R10,30.34,-3.70,Top,180.0
R11,28.98, 0.46,Top,90.0
R12, 8.14,-10.12,Top,180.0
R13,39.81, 0.88,Top,180.0
R14,39.81, 1.92,Top,0.0
R15, 8.15, 0.51,Top,90.0
R16, 4.11,-5.97,Top,180.0
R17,33.25, 1.73,Top,180.0
R18,38.89,-3.73,Top,270.0
RESET,41.08, 9.08,Top,0.0
U1,31.79,-0.98,Top,90.0
